Exporter,Importer,Resource,Value (1000USD),Weight (1000kg)
Afghanistan,Azerbaijan,Agricultural products,5.134,0.6
Afghanistan,Argentina,Pearls and gemstones,1.728,0.115
Afghanistan,Australia,Agricultural products,643.21797823,251.67498967
Afghanistan,Austria,Agricultural products,169.77986653,71.64170663
Afghanistan,Austria,Pearls and gemstones,55.829,0.738
Afghanistan,Bahrain,Agricultural products,383.419,246.351
Afghanistan,Armenia,Agricultural products,4.888,3.38
Afghanistan,Belgium,Agricultural products,176.835,75.997
Afghanistan,Botswana,Agricultural products,2.688,0.325
Afghanistan,Botswana,Fossil fuels,18.231,41.0
Afghanistan,Bulgaria,Agricultural products,31.338,20.0
Afghanistan,Myanmar,Agricultural products,222.332,155.675
Afghanistan,Belarus,Agricultural products,250.921941,137.876854
Afghanistan,Canada,Agricultural products,2121.85400503,642.17515925
Afghanistan,Canada,Fossil fuels,6.005,0.962
Afghanistan,Canada,Metals and minerals,1.085,0.255
Afghanistan,China,Agricultural products,25742.90057,6471.98528
Afghanistan,China,Metals and minerals,344.167,4306.866
Afghanistan,Cyprus,Fossil fuels,782.319,1300.61
Afghanistan,Denmark,Agricultural products,11.51,2.394
Afghanistan,El Salvador,Agricultural products,6.448,1.463
Afghanistan,Fiji,Agricultural products,38.0,18.374
Afghanistan,Finland,Agricultural products,2334.74312282,46.51246907
Afghanistan,France,Agricultural products,3111.959296,965.84830173
Afghanistan,France,Forestry products,88.103,69.397
Afghanistan,Germany,Agricultural products,10124.8518485,2596.93630159
Afghanistan,Germany,Metals and minerals,7.069,23.94
Afghanistan,Germany,Pearls and gemstones,542.168,0.126
Afghanistan,Ghana,Metals and minerals,5.374,8.5
Afghanistan,China,Agricultural products,196.2764053,101.23803714
Afghanistan,Indonesia,Agricultural products,0.36,0.063
Afghanistan,Indonesia,Metals and minerals,2.272,0.069
Afghanistan,Iran,Agricultural products,25077.748,20907.954
Afghanistan,Iran,Metals and minerals,392.373,3895.44
Afghanistan,Iraq,Agricultural products,21371.686,20060.398
Afghanistan,Iraq,Metals and minerals,52.566,713.58
Afghanistan,Italy,Agricultural products,1539.121,74.717
Afghanistan,Italy,Metals and minerals,207.325,146.215
Afghanistan,Cote d'Ivoire,Agricultural products,0.071,0.03
Afghanistan,Japan,Agricultural products,879.582,563.977
Afghanistan,Japan,Metals and minerals,2.439,80.86
Afghanistan,Japan,Pearls and gemstones,55.728,0.139
Afghanistan,Kazakhstan,Agricultural products,6701.7433208,11330.38880084
Afghanistan,Jordan,Agricultural products,3747.446,3728.1
Afghanistan,Kenya,Agricultural products,8.472,11.6
Afghanistan,Republic of Korea,Pearls and gemstones,0.332,0.001
Afghanistan,Kuwait,Agricultural products,327.7096758,69.36543914
Afghanistan,Kyrgyzstan,Pearls and gemstones,2.169,0.551
Afghanistan,Lebanon,Agricultural products,1956.728,388.662
Afghanistan,Latvia,Agricultural products,1020.142,640.0
Afghanistan,Lithuania,Agricultural products,17.286,11.0
Afghanistan,Luxembourg,Agricultural products,0.331,0.06
Afghanistan,Madagascar,Agricultural products,4.338,3.1
Afghanistan,Malaysia,Agricultural products,1874.583,2099.0
Afghanistan,Mexico,Forestry products,0.008,0.045
Afghanistan,Mexico,Metals and minerals,1.62,0.016
Afghanistan,Republic of Moldova,Agricultural products,45.151,24.0
Afghanistan,Morocco,Agricultural products,84.02,25.528
Afghanistan,Mozambique,Agricultural products,68.403,8.731
Afghanistan,Mozambique,Forestry products,15.023,34.0
Afghanistan,Mozambique,Metals and minerals,10.434,9.405
Afghanistan,Oman,Agricultural products,2.78,2.02
Afghanistan,Netherlands,Agricultural products,864.03138671,402.1965955
Afghanistan,Netherlands,Metals and minerals,1.088,33.5
Afghanistan,New Zealand,Agricultural products,251.307,55.233
Afghanistan,Nicaragua,Agricultural products,5.155,0.987
Afghanistan,Norway,Agricultural products,4.955,1.089
Afghanistan,Norway,Pearls and gemstones,0.609,0.001
Afghanistan,Pakistan,Agricultural products,386816.80211335,945312.11597023
Afghanistan,Pakistan,Forestry products,222.446,250.686
Afghanistan,Pakistan,Fossil fuels,94409.125,1118923.0
Afghanistan,Pakistan,Metals and minerals,103071.216,1270048.245
Afghanistan,Pakistan,Pearls and gemstones,55.422,0.107
Afghanistan,Paraguay,Fossil fuels,2917.075,4036.07
Afghanistan,Poland,Agricultural products,736.92055306,521.5817032
Afghanistan,Poland,Metals and minerals,52.711,21.977
Afghanistan,Portugal,Agricultural products,25.3347176,16.3381671
Afghanistan,Qatar,Agricultural products,21.53,0.02
Afghanistan,Romania,Agricultural products,597.619298,128.458854
Afghanistan,Russian Federation,Agricultural products,3959.10423238,3608.86280455
Afghanistan,Russian Federation,Metals and minerals,7.543,261.12
Afghanistan,Russian Federation,Pearls and gemstones,0.703,0.104
Afghanistan,Saudi Arabia,Agricultural products,10130.97731032,1319.71257062
Afghanistan,Senegal,Agricultural products,26.178,42.3
Afghanistan,Seychelles,Agricultural products,4.492,1.143
Afghanistan,India,Agricultural products,520828.4829324,112442.1923231
Afghanistan,India,Fossil fuels,1.083,0.105
Afghanistan,India,Metals and minerals,94.6167392,1964.875358
Afghanistan,India,Pearls and gemstones,133.404,1.752
Afghanistan,Singapore,Agricultural products,0.152,0.052
Afghanistan,Slovakia,Agricultural products,49.227,27.395
Afghanistan,Vietnam,Agricultural products,925.794,79.566
Afghanistan,Slovenia,Agricultural products,19.184,2.942
Afghanistan,South Africa,Agricultural products,122.01,59.744
Afghanistan,South Africa,Pearls and gemstones,5.87,0.007
Afghanistan,Spain,Agricultural products,75.0215881,12.57583852
Afghanistan,Swaziland,Agricultural products,0.209,0.024
Afghanistan,Sweden,Agricultural products,183.24808159,69.73340194
Afghanistan,Switzerland,Agricultural products,316.3438731,18.2401428
Afghanistan,Switzerland,Metals and minerals,0.114,0.085
Afghanistan,Switzerland,Pearls and gemstones,544.826,0.147
Afghanistan,Tajikistan,Agricultural products,2603.826,3897.783
Afghanistan,Thailand,Agricultural products,65.241,108.0
Afghanistan,Thailand,Fossil fuels,0.158,0.023
Afghanistan,Thailand,Pearls and gemstones,310.803,366.65
Afghanistan,United Arab Emirates,Agricultural products,21955.11714567,16577.65261949
Afghanistan,United Arab Emirates,Forestry products,26.365,44.04
Afghanistan,United Arab Emirates,Fossil fuels,0.678,0.134
Afghanistan,United Arab Emirates,Metals and minerals,93913.548,2.54
Afghanistan,United Arab Emirates,Pearls and gemstones,6746.204,0.105
Afghanistan,Turkey,Agricultural products,28642.33133,25352.6642101
Afghanistan,Turkey,Metals and minerals,1158.655667,7235.7228136
Afghanistan,Turkmenistan,Agricultural products,378.952,535.512
Afghanistan,Uganda,Agricultural products,34.776,50.0
Afghanistan,Ukraine,Agricultural products,363.925737,542.44145
Afghanistan,Ukraine,Metals and minerals,5.948,45.22
Afghanistan,Egypt,Agricultural products,345.888,77.982
Afghanistan,United Kingdom,Agricultural products,1956.336,448.533
Afghanistan,United Kingdom,Pearls and gemstones,9.565,0.011
Afghanistan,United States of America,Agricultural products,3875.7124879,2521.18698182
Afghanistan,United States of America,Pearls and gemstones,4599.328,0.443
Afghanistan,Uzbekistan,Agricultural products,2878.015,6111.36
Afghanistan,Uzbekistan,Metals and minerals,42.856,934.45
Afghanistan,Yemen,Agricultural products,52.83,48.0
Albania,Angola,Agricultural products,1.394,1.368
Albania,Angola,Fossil fuels,0.012,0.001
Albania,Argentina,Agricultural products,1.683,0.458
Albania,Argentina,Metals and minerals,49.672,19.0
Albania,Australia,Agricultural products,208.521,44.494
Albania,Australia,Fertilizers,8017.36,28417.156
Albania,Australia,Metals and minerals,989.905,594.51
Albania,Austria,Agricultural products,2740.4845543,2377.8723997
Albania,Austria,Forestry products,99.287,358.884
Albania,Austria,Fossil fuels,0.211,0.009
Albania,Austria,Metals and minerals,10837.75455,6283.55501
Albania,Bahrain,Agricultural products,1.314,0.235
Albania,Bahrain,Forestry products,35.085,132.15
Albania,Bahrain,Metals and minerals,20.401,9.985
Albania,Armenia,Agricultural products,0.18,0.04
Albania,Barbados,Agricultural products,1.266,0.143
Albania,Belgium,Agricultural products,65.6,39.443
Albania,Belgium,Fossil fuels,86.527,69.184
Albania,Belgium,Metals and minerals,751.125,1959.297
Albania,Bolivia,Metals and minerals,13.574,3.19
Albania,Brazil,Agricultural products,142.991,88.447
Albania,Bulgaria,Agricultural products,5491.7199797,13276.154213
Albania,Bulgaria,Forestry products,5.237,24.0
Albania,Bulgaria,Fossil fuels,1432.821,2289.85
Albania,Bulgaria,Metals and minerals,2220.39463,913.029108
Albania,Belarus,Agricultural products,148.2,110.556
Albania,Canada,Agricultural products,87.45,19.863
Albania,Canada,Metals and minerals,934.277,488.436
Albania,Chile,Agricultural products,8.897,1.135
Albania,Chile,Metals and minerals,345.8,184.623
Albania,China,Agricultural products,268.803,87.053
Albania,China,Fossil fuels,67.537,143.448
Albania,China,Metals and minerals,74483.3511,288465.428
Albania,Costa Rica,Agricultural products,1.123,0.063
Albania,Croatia,Agricultural products,3387.8967769,2450.7652461
Albania,Croatia,Metals and minerals,2369.08,778.346
Albania,Cyprus,Forestry products,37.02,28.94
Albania,Cyprus,Fossil fuels,21.866,12.834
Albania,Cyprus,Metals and minerals,11.705,46.2
Albania,Denmark,Agricultural products,626.65,372.156
Albania,Denmark,Metals and minerals,0.31,0.434
Albania,Ecuador,Metals and minerals,57.885,25.702
Albania,Estonia,Agricultural products,319.891,201.292
Albania,Finland,Metals and minerals,534.895,290.3
Albania,France,Agricultural products,5230.03907,1357.161698
Albania,France,Forestry products,429.164,873.308
Albania,France,Fossil fuels,198.908,315.719
Albania,France,Metals and minerals,2800.059,3941.059
Albania,Georgia,Agricultural products,20.29,4.08
Albania,Georgia,Fossil fuels,59.849,45.255
Albania,Germany,Agricultural products,13384.0651321,4456.5286352
Albania,Germany,Fossil fuels,6.191,7.004
Albania,Germany,Metals and minerals,10672.45637526,5245.05583514
Albania,Greece,Agricultural products,8742.97669019,9386.09834658
Albania,Greece,Forestry products,2111.7703608,8329.315677
Albania,Greece,Fossil fuels,2368.069,2821.571
Albania,Greece,Metals and minerals,11893.380313,54586.062127
Albania,China,Agricultural products,17.394,5.745
Albania,China,Metals and minerals,122.15,1102.25
Albania,Hungary,Agricultural products,1322.1425053,1947.125454
Albania,Hungary,Fossil fuels,6.818,10.0
Albania,Hungary,Metals and minerals,30.976,21.332
Albania,Iceland,Agricultural products,1.748,0.466
Albania,Iraq,Agricultural products,1413.598,2455.367
Albania,Ireland,Agricultural products,44.566,53.24
Albania,Ireland,Metals and minerals,8.548,23.41
Albania,Israel,Agricultural products,81.0,11.415
Albania,Italy,Agricultural products,46223.3748225,14673.64034093
Albania,Italy,Forestry products,6669.374418,40993.048822
Albania,Italy,Fossil fuels,29690.25808,76855.27683
Albania,Italy,Metals and minerals,79520.9638358,152440.33689
Albania,Cote d'Ivoire,Fossil fuels,404.233,304.543
Albania,Japan,Agricultural products,408.296,57.911
Albania,Japan,Metals and minerals,4865.481,2854.124
Albania,Republic of Korea,Agricultural products,160.7,27.009
Albania,Republic of Korea,Fossil fuels,52.598,66.0
Albania,Republic of Korea,Metals and minerals,522.166,1050.395
Albania,Kuwait,Agricultural products,0.402,0.01
Albania,Kuwait,Metals and minerals,1.955,0.729
Albania,Kyrgyzstan,Agricultural products,12.156,0.132
Albania,Lebanon,Agricultural products,1.258,0.031
Albania,Lebanon,Fossil fuels,267.421,159.233
Albania,Latvia,Agricultural products,309.986,256.167
Albania,Lithuania,Agricultural products,607.836696,1071.666956
Albania,Lithuania,Fossil fuels,34.621,39.111
Albania,Malaysia,Metals and minerals,198.142,99.745
Albania,Malta,Agricultural products,1630.407,99.55
Albania,Malta,Fossil fuels,0.047,0.005
Albania,Malta,Metals and minerals,6769.566,135873.221
Albania,Mauritius,Agricultural products,0.203,0.042
Albania,Mexico,Agricultural products,34.904,3.775
Albania,Mexico,Metals and minerals,1047.126,595.592
Albania,Republic of Moldova,Agricultural products,269.12,195.502
Albania,Republic of Moldova,Fossil fuels,68.7380383,92.2463297
Albania,Montenegro,Agricultural products,6459.17842888,10163.14975378
Albania,Montenegro,Forestry products,23.185,27.472
Albania,Montenegro,Fossil fuels,5306.657,11672.932
Albania,Montenegro,Metals and minerals,11692.9378598,91901.6458262
Albania,Morocco,Agricultural products,43.788,7.912
Albania,Morocco,Fossil fuels,32.91,54.014
Albania,Netherlands,Agricultural products,749.303,363.83
Albania,Netherlands,Forestry products,4.132,2.11
Albania,Netherlands,Fossil fuels,100.18,49.213
Albania,Netherlands,Metals and minerals,913.432,637.601
Albania,New Zealand,Agricultural products,12.475,1.055
Albania,New Zealand,Metals and minerals,158.483,69.306
Albania,Nicaragua,Fossil fuels,1.555,0.501
Albania,Nicaragua,Metals and minerals,0.012,0.025
Albania,Norway,Agricultural products,37.311,39.249
Albania,Pakistan,Agricultural products,112.015,318.474
Albania,Pakistan,Fossil fuels,6.477,57.0
Albania,Pakistan,Metals and minerals,12.889,54.0
Albania,Panama,Fossil fuels,282.436,560.14
Albania,Paraguay,Metals and minerals,10.402,3.5
Albania,Peru,Agricultural products,1.107,0.03
Albania,Peru,Metals and minerals,11.187,4.991
Albania,Poland,Agricultural products,4714.7164182,2501.9583005
Albania,Poland,Fossil fuels,6.166,22.92
Albania,Poland,Metals and minerals,1234.087,712.026
Albania,Portugal,Agricultural products,91.209,16.14
Albania,Portugal,Fossil fuels,182.629,82.928
Albania,Portugal,Metals and minerals,25.493,48.33
Albania,Qatar,Fossil fuels,20.958,20.21
Albania,Romania,Agricultural products,9621.59005223,9837.78567522
Albania,Romania,Fertilizers,38.239,27.85
Albania,Romania,Fossil fuels,227.17,132.219
Albania,Romania,Metals and minerals,12.561,46.4
Albania,Russian Federation,Agricultural products,107.219,15.402
Albania,Russian Federation,Fossil fuels,22.483,20.5
Albania,Russian Federation,Metals and minerals,10.533,24.825
Albania,Saudi Arabia,Agricultural products,43.275,28.12
Albania,Saudi Arabia,Fossil fuels,713.37,505.544
Albania,Saudi Arabia,Metals and minerals,4.048,1.966
Albania,Senegal,Agricultural products,66.469,102.887
Albania,Senegal,Fossil fuels,330.883,216.029
Albania,Senegal,Metals and minerals,3.782,20.045
Albania,Serbia,Agricultural products,25861.79535199,46408.25840596
Albania,Serbia,Forestry products,471.744,2943.81
Albania,Serbia,Fossil fuels,4178.125,18052.136
Albania,Serbia,Metals and minerals,9372.7463308,115294.536002
Albania,India,Agricultural products,45.005,9.83
Albania,India,Metals and minerals,13382.139,7436.475
Albania,Singapore,Agricultural products,3.394,0.164
Albania,Slovakia,Agricultural products,607.56827614,645.6479381300001
Albania,Slovakia,Metals and minerals,119.779,72.0
Albania,Slovenia,Agricultural products,1494.9600436,1543.7359977
Albania,Slovenia,Fossil fuels,1145.962,823.228
Albania,Slovenia,Metals and minerals,2553.608,1100.744
Albania,South Africa,Agricultural products,172.668,28.579
Albania,South Africa,Fossil fuels,41.476,25.796
Albania,Spain,Agricultural products,6675.571691,893.679451
Albania,Spain,Fertilizers,0.153,0.005
Albania,Spain,Forestry products,6.079,26.4
Albania,Spain,Fossil fuels,176423.83,509178.161
Albania,Spain,Metals and minerals,502.919,294.132
Albania,Sweden,Agricultural products,328.691975,325.249083
Albania,Switzerland,Agricultural products,728.410494,146.516388
Albania,Switzerland,Forestry products,48.377,23.012
Albania,Switzerland,Fossil fuels,293.42,455.02
Albania,Switzerland,Metals and minerals,1003.223,3186.5
Albania,Thailand,Agricultural products,88.848,66.21
Albania,Thailand,Metals and minerals,147.551,87.928
Albania,United Arab Emirates,Agricultural products,18.904,1.966
Albania,United Arab Emirates,Fossil fuels,18.126,13.14
Albania,United Arab Emirates,Metals and minerals,3493.171,11071.711
Albania,Turkey,Agricultural products,4329.678839,1851.460068
Albania,Turkey,Metals and minerals,5425.771,9563.619
Albania,Ukraine,Agricultural products,385.173412,599.785458
Albania,Ukraine,Fossil fuels,202.195,168.0
Albania,Ukraine,Metals and minerals,2132.629,1010.291
Albania,Macedonia,Agricultural products,6345.099794,9548.31707854
Albania,Macedonia,Forestry products,891.371,4376.332
Albania,Macedonia,Fossil fuels,2535.048,4871.228
Albania,Macedonia,Metals and minerals,60267.17040889,653695.7123159
Albania,Egypt,Agricultural products,1275.714617,253.079177
Albania,Egypt,Fossil fuels,10166.961,16686.817
Albania,United Kingdom,Agricultural products,212.456676,37.6528659
Albania,United Kingdom,Fossil fuels,25.588,12.159
Albania,United Kingdom,Metals and minerals,5892.858,3418.846
Albania,United States of America,Agricultural products,10135.5152414,3340.58655357
Albania,United States of America,Metals and minerals,33600.106,12693.383
Albania,Uruguay,Agricultural products,15.964,2.619
Antarctica,Canada,Agricultural products,90.893,15.06
Antarctica,Republic of Korea,Fossil fuels,40.256,15.3
Antarctica,South Africa,Metals and minerals,4.488,79.24
Algeria,Angola,Agricultural products,0.038,0.043
Algeria,Angola,Forestry products,0.019,0.043
Algeria,Azerbaijan,Agricultural products,1388.313,886.144
Algeria,Argentina,Fertilizers,66291.495,221400.0
Algeria,Argentina,Fossil fuels,20679.352,58611.9
Algeria,Australia,Agricultural products,4.879,1.737
Algeria,Australia,Fossil fuels,558349.35,1060141.37
Algeria,Australia,Metals and minerals,3407.043,39704.96
Algeria,Austria,Agricultural products,402.519,88.371
Algeria,Austria,Forestry products,0.692,4.562
Algeria,Austria,Fossil fuels,94410.732,168020.0
Algeria,Austria,Metals and minerals,2.755,1.04
Algeria,Bahrain,Agricultural products,30.038,8.244
Algeria,Armenia,Agricultural products,0.421,0.06
Algeria,Belgium,Agricultural products,2375.467,3634.027
Algeria,Belgium,Fertilizers,13031.503,48067.42
Algeria,Belgium,Fossil fuels,1371208.917,2254823.229
Algeria,Belgium,Metals and minerals,2950.595,32415.2
Algeria,Bolivia,Fertilizers,157.124,410.0
Algeria,Brazil,Agricultural products,0.422,0.013
Algeria,Brazil,Fertilizers,294951.169,1056986.06
Algeria,Brazil,Forestry products,48.873,30.0
Algeria,Brazil,Fossil fuels,2115335.125,3559665.09
Algeria,Brazil,Metals and minerals,7672.443,116299.959
Algeria,Bulgaria,Agricultural products,1172.837,287.674
Algeria,Bulgaria,Metals and minerals,1627.249,1507.92
Algeria,Canada,Agricultural products,952.036,557.542
Algeria,Canada,Fertilizers,12156.323,36950.561
Algeria,Cabo Verde,Fossil fuels,232.657,419.994
Algeria,China,Agricultural products,4565.57,3810.244
Algeria,China,Forestry products,1590.385,1744.886
Algeria,China,Fossil fuels,1159797.152,1833363.36
Algeria,China,Metals and minerals,110.011,747.301
Algeria,Colombia,Fertilizers,17281.382,56426.094
Algeria,Costa Rica,Agricultural products,0.491,0.002
Algeria,Costa Rica,Fertilizers,1305.203,4350.0
Algeria,Croatia,Agricultural products,10.549,27.118
Algeria,Croatia,Metals and minerals,3462.736,44242.78
Algeria,Cyprus,Fossil fuels,19335.012,31705.781
Algeria,Benin,Agricultural products,260.634,500.0
Algeria,Benin,Fossil fuels,1590.826,2567.184
Algeria,Benin,Metals and minerals,8.53,80.0
Algeria,Denmark,Agricultural products,127.142,45.348
Algeria,Estonia,Agricultural products,831.747,168.024
Algeria,Finland,Agricultural products,269.935,64.649
Algeria,France,Agricultural products,49013.413,33936.111
Algeria,France,Fertilizers,117574.254,420720.033
Algeria,France,Forestry products,362.692,1569.716
Algeria,France,Fossil fuels,3145928.247,5770778.405
Algeria,France,Metals and minerals,2154.706,24714.455
Algeria,Georgia,Agricultural products,8.126,2.012
Algeria,Gambia,Metals and minerals,3645.618,81746.95
Algeria,Germany,Agricultural products,7604.979,2556.006
Algeria,Germany,Fertilizers,2756.931,12000.0
Algeria,Germany,Fossil fuels,697855.961,1195012.196
Algeria,Germany,Metals and minerals,4547.271,8756.746
Algeria,Ghana,Agricultural products,5963.91,10322.475
Algeria,Ghana,Forestry products,0.105,0.05
Algeria,Ghana,Metals and minerals,3446.162,61777.619
Algeria,Greece,Agricultural products,354.44,1642.735
Algeria,Greece,Forestry products,145.697,457.16
Algeria,Greece,Fossil fuels,306617.41,710910.06
Algeria,Greece,Metals and minerals,8037.124,113547.373
Algeria,Greenland,Agricultural products,12.839,1.347
Algeria,Greenland,Metals and minerals,0.257,0.151
Algeria,China,Agricultural products,618.471,673.257
Algeria,Hungary,Agricultural products,0.008,0.006
Algeria,Iceland,Agricultural products,26.913,5.098
Algeria,Indonesia,Agricultural products,526.567,239.794
Algeria,Indonesia,Forestry products,274.128,1246.0
Algeria,Indonesia,Fossil fuels,369181.754,618712.0
Algeria,Ireland,Fertilizers,24225.731,67426.01
Algeria,Ireland,Fossil fuels,98301.341,170683.6
Algeria,Italy,Agricultural products,14688.856,9733.107
Algeria,Italy,Fertilizers,12255.145,47517.5
Algeria,Italy,Forestry products,57.96,27.316
Algeria,Italy,Fossil fuels,6669883.88,16293623.1
Algeria,Italy,Metals and minerals,31981.019,98975.714
Algeria,Cote d'Ivoire,Agricultural products,403.642,914.632
Algeria,Cote d'Ivoire,Fossil fuels,6923.321,11762.312
Algeria,Cote d'Ivoire,Metals and minerals,7887.672,140307.715
Algeria,Japan,Agricultural products,948.617,47.197
Algeria,Japan,Fossil fuels,164984.281,272537.7
Algeria,Kazakhstan,Agricultural products,105.01,149.174
Algeria,Jordan,Agricultural products,43219.885,95026.342
Algeria,Jordan,Fossil fuels,34678.742,71391.0
Algeria,Republic of Korea,Agricultural products,2782.904,453.831
Algeria,Republic of Korea,Fossil fuels,1945704.688,3260147.7
Algeria,Kuwait,Agricultural products,280.781,57.566
Algeria,Kuwait,Forestry products,14.667,7.74
Algeria,Lebanon,Agricultural products,14392.338,36492.472
Algeria,Lebanon,Fossil fuels,15809.715,24025.598
Algeria,Latvia,Agricultural products,4.07,1.128
Algeria,Lithuania,Agricultural products,0.005,0.005
Algeria,Luxembourg,Agricultural products,23.977,4.914
Algeria,Madagascar,Agricultural products,7.199,2.426
Algeria,Malaysia,Agricultural products,1372.373,595.363
Algeria,Malaysia,Forestry products,62.835,273.72
Algeria,Malaysia,Fossil fuels,87231.515,141898.4
Algeria,Maldives,Agricultural products,42.844,3.45
Algeria,Malta,Agricultural products,2363.028,200.12
Algeria,Malta,Metals and minerals,9.373,81.0
Algeria,Mauritius,Agricultural products,50.147,20.127
Algeria,Mauritius,Metals and minerals,2.157,3.265
Algeria,Mexico,Agricultural products,0.252,0.006
Algeria,Mexico,Fertilizers,35499.362,123928.7
Algeria,Mexico,Forestry products,33.459,24.01
Algeria,Mongolia,Agricultural products,0.707,0.143
Algeria,Montenegro,Agricultural products,1160.658,2899.02
Algeria,Morocco,Agricultural products,10408.763,3748.503
Algeria,Morocco,Fertilizers,0.066,0.021
Algeria,Morocco,Fossil fuels,322045.399,773251.726
Algeria,Morocco,Metals and minerals,6676.503,12024.517
Algeria,Oman,Agricultural products,31.974,20.5
Algeria,Netherlands,Agricultural products,946.64,240.013
Algeria,Netherlands,Fossil fuels,1128406.022,1891951.7
Algeria,Netherlands,Metals and minerals,39.463,216.607
Algeria,New Zealand,Agricultural products,0.628,0.33
Algeria,New Zealand,Metals and minerals,2197.285,15000.0
Algeria,Nigeria,Agricultural products,33.289,33.14
Algeria,Norway,Agricultural products,143.601,43.387
Algeria,Pakistan,Agricultural products,4.14,3.586
Algeria,Pakistan,Fossil fuels,56086.995,126972.2
Algeria,Paraguay,Fossil fuels,1356.279,1681.08
Algeria,Paraguay,Metals and minerals,51.453,224.0
Algeria,Peru,Fertilizers,5338.619,19037.97
Algeria,Philippines,Fossil fuels,13439.344,38028.1
Algeria,Philippines,Metals and minerals,0.724,0.004
Algeria,Poland,Agricultural products,368.78,184.166
Algeria,Poland,Fertilizers,5805.148,25757.2
Algeria,Poland,Metals and minerals,22070.492,307940.562
Algeria,Portugal,Agricultural products,3620.678,1405.985
Algeria,Portugal,Fertilizers,4373.43,14349.96
Algeria,Portugal,Forestry products,2860.246,2022.835
Algeria,Portugal,Fossil fuels,531935.918,978440.48
Algeria,Qatar,Agricultural products,1824.81,1054.715
Algeria,Romania,Agricultural products,24.883,11.258
Algeria,Romania,Fossil fuels,1201.309,1813.44
Algeria,Russian Federation,Agricultural products,8889.041,6291.629
Algeria,Saudi Arabia,Agricultural products,3636.162,6805.366
Algeria,Senegal,Agricultural products,775.11,1289.676
Algeria,Senegal,Fossil fuels,2273.027,4001.16
Algeria,Senegal,Metals and minerals,1946.313,37205.723
Algeria,Serbia,Agricultural products,15.024,2.484
Algeria,India,Agricultural products,4359.165,3645.568
Algeria,India,Fertilizers,65565.889,253221.0
Algeria,India,Forestry products,6518.425,29940.727
Algeria,India,Fossil fuels,1513419.777,2673744.0
Algeria,India,Metals and minerals,28038.424,270048.16
Algeria,Singapore,Agricultural products,0.277,0.11
Algeria,Slovakia,Agricultural products,566.376,155.698
Algeria,Slovakia,Metals and minerals,0.082,0.046
Algeria,Slovenia,Agricultural products,160.256,46.218
Algeria,South Africa,Agricultural products,1.123,1.262
Algeria,South Africa,Metals and minerals,40.762,135.0
Algeria,Spain,Agricultural products,18537.103,20054.475
Algeria,Spain,Fertilizers,80665.448,290639.904
Algeria,Spain,Forestry products,2084.955,11614.963
Algeria,Spain,Fossil fuels,5337764.335,14373316.046
Algeria,Spain,Metals and minerals,5608.176,34118.543
Algeria,Sweden,Agricultural products,160.544,81.0
Algeria,Switzerland,Agricultural products,625.958,372.849
Algeria,Switzerland,Fossil fuels,15614.678,27921.0
Algeria,Switzerland,Metals and minerals,0.374,0.137
Algeria,Thailand,Agricultural products,617.506,262.819
Algeria,Thailand,Forestry products,34.76,231.63
Algeria,United Arab Emirates,Agricultural products,4737.164,9059.278
Algeria,United Arab Emirates,Forestry products,897.013,5626.31
Algeria,United Arab Emirates,Fossil fuels,55559.714,87827.26
Algeria,United Arab Emirates,Metals and minerals,4422.165,0.153
Algeria,Turkey,Agricultural products,12976.9,27515.31
Algeria,Turkey,Fertilizers,14939.979,59900.0
Algeria,Turkey,Fossil fuels,1039382.683,1753622.586
Algeria,Turkey,Metals and minerals,5065.121,1301.643
Algeria,Ukraine,Agricultural products,303.008,341.42
Algeria,Ukraine,Fossil fuels,7317.782,16943.8
Algeria,Ukraine,Metals and minerals,11760.426,153740.05
Algeria,Macedonia,Agricultural products,1330.945,3601.717
Algeria,Macedonia,Fossil fuels,332.664,534.38
Algeria,Egypt,Agricultural products,187.217,60.208
Algeria,Egypt,Fossil fuels,142201.25,269998.395
Algeria,Egypt,Metals and minerals,11449.211,9797.316
Algeria,United Kingdom,Agricultural products,3647.237,6809.063
Algeria,United Kingdom,Fertilizers,19252.18,58330.0
Algeria,United Kingdom,Fossil fuels,2848683.751,4984693.8
Algeria,United Kingdom,Metals and minerals,1518.084,54.142
Algeria,Tanzania,Agricultural products,1.555,1.146
Algeria,United States of America,Agricultural products,25100.871,9823.113
Algeria,United States of America,Fertilizers,111382.266,422285.0
Algeria,United States of America,Fossil fuels,4610633.951,10039567.992
Algeria,United States of America,Metals and minerals,3268.379,0.113
Algeria,Burkina Faso,Agricultural products,795.105,2282.09
Algeria,Burkina Faso,Fossil fuels,9012.628,12064.958
Algeria,Burkina Faso,Metals and minerals,47.62,108.439
Algeria,Uruguay,Fertilizers,12058.395,37135.1
Algeria,Uruguay,Metals and minerals,5678.134,71917.3
Algeria,Uzbekistan,Agricultural products,3.564,18.24
American Samoa,Australia,Agricultural products,6106.886,3886.352
American Samoa,Australia,Metals and minerals,64.138,33.776
American Samoa,Canada,Agricultural products,0.079,0.02
American Samoa,Colombia,Agricultural products,960.187,588.121
American Samoa,Ecuador,Agricultural products,2.118,1.038
American Samoa,France,Agricultural products,43.843,22.836
American Samoa,France,Metals and minerals,5.611,3.316
American Samoa,China,Agricultural products,83.514,33.274
American Samoa,Indonesia,Agricultural products,105.758,128.931
American Samoa,Indonesia,Fossil fuels,23160.181,47481.6
